Date;Living;Dead;Dead prunable;Dead unprunable;Prune queue;Pool;Court;Ruler;Landed;Playable;Independent;Independent landed
1067.1.31;26785;14621;919;13702;0;5653;17497;3631;1946;1685;792;448;
1067.2.28;26661;14751;1048;13703;0;5508;17519;3630;1946;1684;792;448;
1067.3.31;26537;14888;1185;13703;0;5390;17514;3629;1946;1683;792;448;
1067.4.30;26430;15021;1314;13707;0;5307;17487;3633;1951;1682;791;447;
1067.5.31;26308;15154;1447;13707;0;5193;17483;3628;1946;1682;791;447;
1067.6.30;26250;15283;1574;13709;0;5096;17515;3635;1946;1689;791;447;
1067.7.31;26153;15438;1727;13711;0;5003;17512;3634;1946;1688;791;447;
1067.8.31;26069;15571;1854;13717;0;4959;17474;3631;1946;1685;790;446;
1067.9.30;26016;15708;1985;13723;0;4893;17484;3635;1946;1689;791;447;
1067.10.31;25942;15837;2109;13728;0;4819;17482;3636;1946;1690;788;444;
1067.11.30;25844;15979;2245;13734;0;4740;17461;3637;1946;1691;788;444;
1067.12.31;25785;16109;2373;13736;0;4675;17461;3639;1947;1692;789;444;
1068.1.31;25686;16265;2527;13738;0;4618;17424;3637;1947;1690;789;444;
1068.2.28;25594;16414;2671;13743;0;4550;17402;3639;1947;1692;789;444;
1068.3.31;25490;16555;2807;13748;0;4474;17371;3636;1947;1689;788;443;
1068.4.30;25413;16706;2955;13751;0;4495;17286;3629;1946;1683;789;444;
1068.5.31;25352;16849;3090;13759;0;4386;17333;3631;1946;1685;789;444;
1068.6.30;25280;16976;3211;13765;0;4310;17330;3636;1949;1687;790;444;
1068.7.31;25300;17117;3349;13768;0;4241;17407;3647;1949;1698;789;443;
1068.8.31;25211;17267;3496;13771;0;4140;17418;3650;1949;1701;794;448;
1068.9.30;25118;17408;3636;13772;0;4046;17416;3649;1949;1700;791;445;
1068.10.31;25055;17547;3766;13781;0;3974;17426;3649;1948;1701;787;442;
1068.11.30;24962;17701;3916;13785;0;3867;17444;3649;1947;1702;785;440;
1068.12.31;24871;17840;4048;13792;0;3809;17411;3646;1946;1700;784;439;
